Comment,Designator,Footprint,LCSC,Quantity
100R,"R1,R4",R_0603_1608Metric,C105588,2
220R,R3,R_0603_1608Metric,C107696,1
470R,R2,R_0603_1608Metric,C114433,1
47uF,C5,C_0603_1608Metric,C140782,1
1K8,R5,R_0603_1608Metric,C144686,1
100nF,"C3,C4",C_0603_1608Metric,C14663,2
MMBD4148TW,"D1,D2,D3,D4,D5,D6,D7,D8,D9",SOT-363_SC-70-6,C157538,9
1uF,"C1,C2",C_0603_1608Metric,C15849,2
1MHz Bus,J1,IDC-Header_2x17_P2.54mm_Vertical,C20920,1
Audio_Jack_3420,J3,PJ-3420-X-SMT,C319102,1
100R,"RN1,RN2,RN3,RN4,RN5,RN6",R_Array_Convex_4x0402,C326873,6
Power In,J6,JST_EH_S2B-EH_1x02_P2.50mm_Horizontal,C514173,1
NC7WZ16,U2,SOT-363_SC-70-6,C5207819,1
XC6206P332MR,U1,SOT-23-3,C5446,1
